Record #:  0
Notes :


6/26/20192:23:20 PMRecord #:  0
Notes :


6/26/20192:23:20 PM
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
432.157516E-6	-365.447998E-6	12.636185E-6	-483.942032E-6	-722.837448E-6	255.393982E-6	-409.317017E-6	93.221664E-6
432.252884E-6	-364.875793E-6	13.160706E-6	-484.037399E-6	-722.503662E-6	255.489349E-6	-409.030914E-6	92.697144E-6
432.205200E-6	-364.065170E-6	13.303757E-6	-483.751297E-6	-722.837448E-6	255.537033E-6	-409.364700E-6	93.126297E-6
432.205200E-6	-364.351273E-6	12.063980E-6	-483.942032E-6	-722.646713E-6	255.537033E-6	-409.793854E-6	93.603134E-6
432.777405E-6	-363.540649E-6	12.207031E-6	-484.132767E-6	-722.360611E-6	255.918503E-6	-409.746170E-6	93.507767E-6
434.064865E-6	-364.303589E-6	12.922287E-6	-484.514236E-6	-723.266602E-6	255.775452E-6	-409.460068E-6	93.412399E-6
433.063507E-6	-365.066528E-6	13.160706E-6	-484.275818E-6	-722.980499E-6	256.013870E-6	-409.603119E-6	93.555450E-6
432.443619E-6	-364.971161E-6	12.779236E-6	-484.085083E-6	-722.599030E-6	255.870819E-6	-409.650803E-6	92.935562E-6
431.919098E-6	-365.066528E-6	12.588501E-6	-484.800339E-6	-722.789764E-6	255.060196E-6	-409.603119E-6	93.221664E-6
431.632996E-6	-364.685059E-6	12.302399E-6	-484.848022E-6	-722.551346E-6	254.631042E-6	-409.460068E-6	93.746185E-6
432.634354E-6	-364.446640E-6	11.873245E-6	-483.798981E-6	-722.646713E-6	255.537033E-6	-409.269333E-6	93.507767E-6
432.729721E-6	-363.540649E-6	12.350082E-6	-484.085083E-6	-723.218918E-6	256.299973E-6	-408.601761E-6	93.030930E-6
433.158875E-6	-364.923477E-6	12.493134E-6	-484.085083E-6	-722.694397E-6	257.205963E-6	-409.317017E-6	92.697144E-6
433.349609E-6	-365.114212E-6	11.968613E-6	-483.322144E-6	-723.075867E-6	256.204605E-6	-409.317017E-6	93.317032E-6
433.635712E-6	-364.398956E-6	11.634827E-6	-483.798981E-6	-722.932816E-6	255.632401E-6	-408.458710E-6	93.984604E-6
433.683395E-6	-365.304947E-6	11.110306E-6	-484.323502E-6	-722.837448E-6	255.823135E-6	-408.840179E-6	92.458725E-6
432.491302E-6	-365.638733E-6	11.730194E-6	-483.846664E-6	-723.361969E-6	256.681442E-6	-409.078598E-6	93.030930E-6
433.540344E-6	-364.875793E-6	11.825562E-6	-484.275818E-6	-723.314285E-6	256.538391E-6	-409.936905E-6	92.983246E-6
432.777405E-6	-364.351273E-6	11.444092E-6	-483.942032E-6	-723.600388E-6	255.537033E-6	-409.173965E-6	92.411041E-6
432.157516E-6	-363.922119E-6	11.444092E-6	-483.608246E-6	-723.552704E-6	254.297256E-6	-407.838821E-6	92.172623E-6
432.062149E-6	-364.685059E-6	10.967255E-6	-483.989716E-6	-722.074509E-6	254.344940E-6	-408.840179E-6	92.792511E-6
432.586670E-6	-365.209579E-6	12.111664E-6	-485.038757E-6	-721.788406E-6	254.821777E-6	-408.506393E-6	93.507767E-6
433.731079E-6	-364.971161E-6	12.588501E-6	-485.372543E-6	-721.788406E-6	255.537033E-6	-408.411026E-6	92.887878E-6
432.491302E-6	-363.683701E-6	12.302399E-6	-483.942032E-6	-722.837448E-6	255.966187E-6	-408.506393E-6	93.364716E-6
433.588028E-6	-364.875793E-6	12.207031E-6	-483.942032E-6	-723.314285E-6	255.012512E-6	-408.744812E-6	93.603134E-6
434.541702E-6	-364.875793E-6	12.302399E-6	-483.608246E-6	-723.552704E-6	255.060196E-6	-409.221649E-6	92.935562E-6
433.111191E-6	-364.923477E-6	12.063980E-6	-484.561920E-6	-722.455978E-6	255.393982E-6	-409.555435E-6	93.269348E-6
432.682037E-6	-364.971161E-6	12.826920E-6	-484.275818E-6	-723.505020E-6	255.727768E-6	-408.411026E-6	92.792511E-6
433.158875E-6	-364.828110E-6	13.160706E-6	-484.466553E-6	-723.409653E-6	255.727768E-6	-408.744812E-6	92.220306E-6
433.397293E-6	-364.589691E-6	12.636185E-6	-485.038757E-6	-722.265244E-6	256.156921E-6	-408.840179E-6	92.792511E-6
432.825089E-6	-365.686417E-6	12.922287E-6	-484.085083E-6	-722.169876E-6	255.012512E-6	-409.460068E-6	93.364716E-6
432.538986E-6	-365.066528E-6	12.874603E-6	-484.323502E-6	-721.883774E-6	254.583359E-6	-409.460068E-6	93.221664E-6
